batch_id,sample_id,parent_llm_score,codex_score,codex_reason,codex_confidence
batch_007,S050,2,2,出现“平台+数据+运营”服务模式、城市级信息融合基础设施和为政府等主体建设交易聚合平台等具体动作，已进入城市经济治理场景，但整体仍偏平台能力描述，数据使用链条不够完整。,0.8
batch_007,S051,2,3,明确给出结构型与非结构型数据、数据治理和数据工程等数据对象与动作，并嵌入企业数智化转型的平台场景，具备完整的实质性使用语义。,0.95
batch_007,S052,2,1,主要表述与高校合作、保持人工智能前沿洞察以及行业Know-How积累，属于能力和优势描述，虽有人工智能表述，但没有具体的数据使用动作。,0.93
batch_007,S053,2,1,罗列互联网、大数据、云计算、AI、供应链协同等技术，并指向业务生态重构，整体仍是未来战略性表述，缺少明确的数据对象和具体使用行为。,0.91
batch_007,S054,2,2,包含智能仓改造升级、智能物流设备更新、智能化物流场景应用和供应链环节评估等具体动作，已落在物流运营场景，但数据对象和数据处理方式仍不够明确。,0.87
batch_007,S055,2,1,提到完善IT战略、深化数字化转型对经营管理支持以及推进合规信息管理系统建设，但整体仍属管理层面的泛化表述，缺少清晰的数据使用细节。,0.9
batch_007,S056,2,3,明确围绕城市体检指标体系、体检信息化平台、体检结果以及对城市问题的诊断与监测展开，数据对象、具体动作和城市治理场景同时出现，属于实质性使用。,0.96
batch_008,S057,2,1,提到“以数据为关键要素”的数字化转型和电网生产升级，但仍是战略性表述，未呈现清晰的具体数据应用动作。,0.79
batch_008,S058,2,1,围绕各地区信息化建设需求和大数据产业带动需求展开，属于行业与市场层面的泛化描述，没有具体应用场景。,0.92
batch_008,S059,2,2,明确提出上线SAP ERP、OA、资金管理、MES等系统并推进流程数字化，已有具体行动，但更多是建设规划，场景嵌入仍较有限。,0.87
batch_008,S060,2,3,在评标业务中明确运用大数据和人工智能解决评标耗时长、重复评审、尺度不一等问题，并提升评审质效与监管规范，属于完整的实质性应用。,0.95
batch_008,S061,1,0,这是常规风险管理和市场风险披露，未体现任何数据对象、算法或数字化应用动作。,0.98
batch_008,S062,1,1,仅说明研发团队覆盖算法等领域、人才背景强，属于组织与能力描述，没有具体算法使用或业务场景。,0.94
batch_008,S063,0,3,围绕ADC输出信号、脉冲宽度等数据对象，进行量化、滤波、实时检测和算法处理，以提升系统可靠度并降低误码率，属于明确且完整的实质应用。,0.96
batch_008,S064,1,0,内容是标准化的风险管理原则和金融工具列示，没有出现具体的数据使用行为或数字化场景。,0.99
batch_009,S065,1,0,仅为管理风险与规模扩张带来的一般性风险控制表述，未出现数据对象、数据处理动作或具体经营/治理应用场景。,0.98
batch_009,S066,1,0,内容聚焦组织架构、流程固化、绩效考核和内控体系建设，属于泛化管理表述，没有可识别的数据使用行为。,0.97
batch_009,S067,1,0,这里的“程序化”用于描述制度化管理和流程规范化，属于一般管理措辞，未体现数据对象或基于数据的具体行动。,0.96
batch_009,S068,1,0,“数量金额核算法”是会计核算方式说明，虽涉及数量和金额，但并非数据化/算法应用场景，也没有展示实质性的数据使用链条。,0.94
batch_009,S069,1,0,仅为财务报表科目中列示“数据资源”，属于账项披露，没有任何数据处理动作或业务应用情境。,0.99
batch_009,S070,0,3,明确给出数据对象“互联网工具产生的海量数据”、具体动作“进行分析”，以及业务场景“精准营销及需求定制、提升去化率和回款率”，属于实质性数据应用。,0.99
batch_009,S071,1,0,只是战略与经营方针中的“风险控制”表述，未出现数据对象、分析动作或具体业务/治理使用场景。,0.98
batch_009,S072,1,0,属于会计披露中关于“确认为存货的数据资源”是否适用的说明，且标注为不适用，没有实质数据使用行为。,0.99
batch_010,S073,0,0,内容是通用的风险管理表述，仅说明识别、分析、监督各类风险并控制在范围内，没有出现具体数据对象或数据使用场景。,0.98
batch_010,S074,0,0,这是财务风险管理和金融工具的常规披露，强调确认、分析和监督风险，没有体现基于数据的具体业务或治理动作。,0.98
batch_010,S075,0,0,文本是公司规划性表述，提到完善财务、审计和风险控制体系，但没有具体数据对象、分析动作或落地应用场景。,0.96
batch_010,S076,1,0,这里只是在报表科目中列示“数据资源”，属于会计项目名称，没有任何数据采集、处理、分析或决策使用行为。,0.99
batch_010,S077,0,0,“大数据集团”出现在借款归还项目中，属于主体名称/往来事项，不涉及数据集或数据使用行为。,0.99
batch_010,S078,1,3,文本明确写到构建融合人工智能的数据预处理、算法优化、智能决策的数据分析框架，并服务于公司创新战略和数据服务能力提升，具备数据对象、具体动作和业务场景。,0.91
batch_010,S079,0,3,内容明确提出建立客户数据库，并将其作为全面信息化管理依据，配合系统引入以支持管理者快速决策和营销网络布局，属于实质性数据使用。,0.95
batch_010,S080,1,0,这里的“数据中心”是客户场所和服务对象，描述的是算力设备日常运维服务，不是对数据本身的具体处理、分析或治理使用。,0.94
batch_011,S081,1,2,文本出现了具体的信息化动作：建立内部管理信息平台、整合业务流程，并用于投资管理、业务支持、综合分析和内部管理。其业务场景较明确，但“数据对象”和风险控制中的具体使用链条仍不够完整。,0.83
batch_011,S082,1,3,文本明确写到以“大数据资源”为对象，筹建“福建省大数据交易中心”，并整合大数据资源、打造大数据业务发展平台，已经同时具备数据对象、具体动作和业务场景。,0.86
batch_011,S083,1,0,这里只是在分部披露中说明“数据中心业务分部”包含的收入和产品类型，属于业务分类和名称陈述，没有看到任何具体的数据使用行为。,0.98
batch_011,S084,0,0,文本是在列举教材和图书获奖情况，虽然出现“数据库”“数据仓库”等词，但不涉及企业自身的数据使用或经营治理动作。,0.99
batch_011,S085,1,0,该段主要是会计准则和《企业数据资源相关会计处理暂行规定》的执行说明，属于政策/准则适用描述，没有展开企业对数据资源的具体业务使用。,0.97
batch_011,S086,1,3,文本明确说明以公司系统统计的APP运营数据为基础，计算运营绩效指标同比变动，并放在广告推广业务经营情况分析中，具备数据对象、分析动作和经营场景。,0.92
batch_011,S087,1,1,文本提到“数据安全”是公司业务之一，并描述智慧城市项目和安防产品方案，但整体仍是业务范围和能力介绍，没有呈现具体的数据使用或治理动作。,0.9
batch_011,S088,1,0,该段是国家政策和行业规模的外部介绍，涉及数据中心节能改造和全国机架规模，但没有公司自身的数据使用行为或具体业务动作。,0.99
batch_012,S089,1,3,明确写到将结构化/非结构化及授权数据用于公司人工智能算法训练和AI大模型训练，数据对象、具体动作和研发场景同时出现。,0.92
batch_012,S090,1,0,只是罗列多个数据中心建设项目名称，属于基础设施或项目清单，没有呈现具体的数据对象或数据使用动作。,0.96
batch_012,S091,3,0,属于金融工具风险管理的通用披露，强调管理和监控风险敞口，但没有数据对象或具体数据使用场景。,0.95
batch_012,S092,2,3,明确以泄漏声信号为对象，进行分析处理、建模、滤波和定位，用于供水管道漏点检测，应用场景和动作都很完整。,0.97
batch_012,S093,2,0,仅出现“数据资源不适用”的会计披露，没有任何数据使用内容。,0.99
batch_012,S094,2,1,提到DCS可用于生产管理、数据采集和过程控制，但这是术语性、功能性描述，不是公司自身的具体数据应用行动。,0.89
batch_012,S095,3,0,只是报表科目中的“其中：数据资源”占位，没有任何语义上的数据使用行为。,0.99
batch_012,S096,2,2,明确提到在激光加工CAD/CAM软件中使用智能排序算法并服务于客户生产力提升，属于具体应用，但数据对象和业务闭环仍不够展开。,0.86
batch_013,S097,2,0,内容是数据中心建设的行业政策与节能趋势说明，未呈现企业对数据的具体使用行为。,0.98
batch_013,S098,2,2,出现了“数据采集和分析”“据此升级产品/推出配套服务”等具体动作，但数据对象与应用场景仍较泛化，表达偏业务宣传。,0.79
batch_013,S099,2,0,属于风险管理原则和制度性表述，只说识别、监督各类风险，没有体现具体数据对象或分析应用。,0.97
batch_013,S100,2,3,明确提到对风险敞口进行管理监控，并采用敏感性分析评估风险变量变化对损益和权益的影响，具备数据对象、分析动作和治理场景。,0.95
batch_013,S101,2,0,仅为“数据中心综合服务”分产品收入披露，属于业务分类名称和财务列示，没有数据使用语义。,0.99
batch_013,S102,2,1,提到“相关数据分析服务”，但整体是在描述产品竞争优势和销售覆盖，未展示具体的数据分析动作或应用场景。,0.9
batch_013,S103,2,3,具体描述了语音数据自动清洗、交通目标检测、点云检测等模型研发，既有数据对象也有算法动作，并置于明确的研发应用场景中。,0.96
batch_013,S104,2,2,表述了通过数据产品和技术工具提升红人商业化效率、赋能商务能力，属于具体业务用途，但仍偏概括，缺少更细的数据处理细节。,0.84
batch_014,S105,2,0,仅为报表科目列示“数据资源”，没有任何数据使用动作或业务场景。,0.99
batch_014,S106,2,1,提到“数据分析”“消费数据服务需求”，但属于行业趋势和政策背景描述，未见具体使用。,0.94
batch_014,S107,3,3,出现水声大数据/数据传输等数据对象，并结合探测识别、通信传输、导航测绘及特种用户场景，属于明确业务应用。,0.75
batch_014,S108,2,1,提到工业数据建模、数据集成、边缘处理等技术方向，但只是行业前景和公司布局表述，缺少落地动作。,0.93
batch_014,S109,2,3,明确写到建立企业级数据中心，开展数据治理、集成整合、统一管控、质量保障和大数据分析，业务场景完整。,0.98
batch_014,S110,2,0,这是对算法、深度学习、鲁棒性等术语的定义说明，不构成具体数据使用。,0.98
batch_014,S111,2,3,围绕数据安全给出具体产品方案，包含训推一体机、模型工具与训练优化，并落在政务、司法、城市治理、高校等场景。,0.77
batch_014,S112,2,3,明确使用市场销售数据驱动选品算法，筛选潜力产品并服务管理决策和业务增长，数据对象、动作、场景齐全。,0.97
batch_015,S113,2,0,仅说明产品用于多个数据中心集群及金融机构数据中心方案，属于基础设施/产品介绍，没有出现对具体数据对象的处理或业务治理动作。,0.93
batch_015,S114,2,3,出现对市场需求、客户分类等对象的分析评估，并依托智能算法进行精准、差异化投放，且明确嵌入营销获客与服务保障场景，属于实质性业务使用。,0.95
batch_015,S115,2,2,明确写到对分散、异构数据资源进行治理、整合和加工，并支撑决策与分析，已出现具体数据动作；但整体仍是对数据中台能力的概念性描述，缺少具体落地场景。,0.84
batch_015,S116,2,3,明确包含设备工况数据这一数据对象，以及采集、传输、组织、分析等动作，并用于制定设备检修与维护策略，业务运维场景完整。,0.97
batch_015,S117,2,0,只是“主要运营数据公告”的目录式标题，没有任何数据处理、分析或业务应用行为。,0.99
batch_015,S118,2,1,讨论图数据库、图计算引擎和知识图谱的行业需求与趋势，虽提到链接数据辅助决策，但仍是泛化技术说明，不是具体业务或治理使用。,0.88
batch_015,S119,2,0,主要是政策目标和规划引述，提到数据安全保障与数据中心支持，属于政策性表述，没有具体数据使用或治理动作。,0.96
batch_015,S120,3,0,只是财务报表中“数据资源”科目的列示，属于会计项目披露，没有语义上的数据使用行为。,0.99
