分组,Y,类别,口径/含义,DU_kw,DU_llm,结论,建议,样本N,来源
C. 单测度显著/稳健性不足,DUVOL,崩盘风险,自构DUVOL,"-0.0073 (t=-3.10, p=0.002; 显著且方向对)","0.0052 (t=2.04, p=0.042; 不支持)",仅DU_kw显著,单边显著，不建议主推,37294,旧候选Y
C. 单测度显著/稳健性不足,NCSKEW_off,崩盘风险,CSMAR官方NCSKEW,"-0.0139 (t=-2.45, p=0.014; 显著且方向对)","0.0142 (t=2.19, p=0.029; 不支持)",仅DU_kw显著,单边显著，不建议主推,37120,新数据/事件型Y
C. 单测度显著/稳健性不足,DUVOL_off,崩盘风险,CSMAR官方DUVOL,"-0.0074 (t=-2.12, p=0.035; 显著且方向对)","0.0108 (t=2.63, p=0.009; 不支持)",仅DU_kw显著,单边显著，不建议主推,37120,新数据/事件型Y
C. 单测度显著/稳健性不足,Turnover_year,交易行为,年化换手率,"0.3764 (t=2.40, p=0.016; 显著且方向对)","-0.5746 (t=-4.08, p=4.81e-05; 不支持)",仅DU_kw显著,方向冲突，不建议,37294,旧候选Y
E. 不建议推动,SPI,股价信息含量,1-R2,"-0.0033 (t=-2.89, p=0.004; 不支持)","-0.0055 (t=-5.59, p=2.97e-08; 不支持)",不支持,与SYNCH机械冲突，不建议,37245,旧候选Y
E. 不建议推动,PEAD20_signed,公告后漂移,20日 signed PEAD,"0.0016 (t=1.35, p=0.178; 不支持)","0.0031 (t=2.49, p=0.013; 不支持)",不支持,不建议，方向不支持,23746,新数据/事件型Y
E. 不建议推动,PEAD60_signed,公告后漂移,60日 signed PEAD,"0.0045 (t=1.84, p=0.066; 不支持)","0.0050 (t=2.45, p=0.015; 不支持)",不支持,不建议，方向不支持,23744,新数据/事件型Y
E. 不建议推动,EA_CAR02,公告即时反应,"[0,+2] signed CAR","-1.97e-04 (t=-0.34, p=0.731; 不支持)","3.90e-04 (t=0.67, p=0.504; 不支持)",不支持,不建议,37293,新数据/事件型Y
D. 解释性变量/非主Y,SUE_price,盈余意外,实际EPS-预测EPS，按价格缩放,"9.77e-04 (t=4.77, p=2.12e-06; 有信息/不判方向)","3.90e-04 (t=1.35, p=0.176; 有信息/不判方向)",不按方向判定,不是主Y，解释变量/机制口径,23747,新数据/事件型Y
E. 不建议推动,AF_Dispersion,分析师信息环境,分析师预测分歧,"-6.59e-04 (t=-0.15, p=0.885; 不支持)","-0.0056 (t=-1.04, p=0.300; 不支持)",不支持,不建议,20729,新数据/事件型Y
D. 解释性变量/非主Y,AF_Optimism,分析师信息环境,分析师乐观偏差,"-9.77e-04 (t=-4.77, p=2.12e-06; 有信息/不判方向)","-3.90e-04 (t=-1.35, p=0.176; 有信息/不判方向)",不按方向判定,不是主Y,23747,新数据/事件型Y
E. 不建议推动,Bench_Accuracy,券商评级/预测,基准预测准确度,"0.0305 (t=1.23, p=0.220; 不支持)","0.0463 (t=1.32, p=0.188; 不支持)",不支持,不建议,23998,新数据/事件型Y
D. 解释性变量/非主Y,Bench_Optimism,券商评级/预测,基准预测乐观度,"-2.08e-04 (t=-0.74, p=0.459; 有信息/不判方向)","6.29e-04 (t=1.73, p=0.084; 有信息/不判方向)",不按方向判定,不是主Y,23998,新数据/事件型Y
E. 不建议推动,Bench_BuyShare,券商评级/预测,买入评级占比,"8.70e-04 (t=0.67, p=0.500; 不支持)","-0.0012 (t=-0.75, p=0.453; 不支持)",不支持,不建议,24071,新数据/事件型Y
E. 不建议推动,CRASH_off,崩盘风险,CSMAR官方崩盘虚拟变量,"7.14e-04 (t=0.45, p=0.656; 不支持)","0.0061 (t=2.49, p=0.013; 不支持)",不支持,不建议,37120,新数据/事件型Y
