sample_id,keyword,archived_parent_score,codex_independent_score,human_score,human_confidence,human_notes,codex_notes,context
S063,算法,0,2,2,medium,sigma-delta ADC量化+高阶滚动平均滤波器+定位算法降低通讯误码率，具体算法方案与用途,具体技术方案清楚，属于应用场景而非闭环。,ADC 输出数据快速稳定； ②采用 sigma-delta ADC 对 HART 信号进行量 化以增强解调模拟前端的抗扰性能，对 ADC 输出信号进行高抗扰计数滤波，实时检测脉 冲宽度并作对应算法处理以进一步提升系统 可靠度，最终降低系统通讯误码率； ③采用自主研发的高阶滚动平均滤波器架 构，实现高性能滤波的同时降低硬件成本及 功耗。 加速输出数据的稳 定，降低系统通讯 的误码率
S070,精准营销,0,2,2,medium,借助互联网海量数据分析实现精准营销与需求定制，有具体营销用途,有明确营销用途，但结果和系统嵌入不足。,归深圳本地开发项目和项目运营。 二是创新营销手段，狠抓项目去化。 2017年，公司将继续创新营销手段，联合第三方机构达成客户共享、联合宣传。同时，借助互联网工具产生的海量数据 进行分析，实现精准营销及需求定制。逐步实现由“产品导向型”发展为“客户导向型”，提升异地项目去化率和回款率。 十、接待调研、沟通、采访等活动情况 1、报告期内接待调研、沟通、采访等活动登记表 √ 适用 □ 不适
S078,数据分析,1,3,3,medium,国产平台构建融合人工智能的数据预处理+算法优化+智能决策的数据分析框架,,"未来的数据分析需 求。 7、模板适应性：系统 该研究服务于公司“人 工智能+数据智能”的 创新战略,基于国产平 台的构建融合人工智 能的数据预处理、算 法优化、智能决策的 国产化数据分析框 架，促进数据驱动的 决策过程,赋能公司数 据服务能力提升，提 升公司在数据服务领 域的核心竞争力。 宏景科技股份有限公司2024 年年度报告全文 42 能够适应至少100 种 不"
S079,数据库,0,2,2,medium,建立客户数据库并引入掌务通系统支撑信息化管理与营销决策,客户数据库支撑管理决策，闭环证据不足。,紧紧围绕年初经营计划及目标，积极调整销售策略，锐意进取，攻坚克难，根据市场 变化情况以及目标客户群的需求，积极推广新产品，加强品牌宣传以及产品促销力度，加大开发新市场、 发展新客户的投入，建立客户数据库，为公司的全面信息化管理提供依据，引入掌务通系统，提升公司管 理水平、服务水平和核心竞争力，方便管理者快速决策，推进公司市场营销网络布局，强化营销体系，努 力达到巩固成熟市场、培育新市场、拓展空白
S091,风险控制,3,0,0,high,金融工具风险管理标准披露,,借款、长期应付款。 各项金融工具的详细情况已于相关附注内披露。与这些金融工具有关的风险，以及本集团为降低这些风险所采取的风险管理 政策如下所述。本集团管理层对这些风险敞口进行管理和监控以确保将上述风险控制在限定的范围之内。 1、风险管理目标和政策 本公司从事风险管理的目标是在风险和收益之间取得适当的平衡，力求降低金融风险对本集团财务业绩的不利影响。基于该 风险管理目标，本集团已制定风险管理政
S093,数据资源,2,2,0,high,"""数据资源""财务附注条目披露",数据资源列示在报表，偏披露而非使用。,折现租赁收款额 □适用√不适用 (3) 作为生产商或经销商确认融资租赁销售损益 □适用√不适用 青岛鼎信通讯股份有限公司2024 年年度报告 188 / 216 其他说明： 无 83、数据资源 □适用√不适用 84、其他 □适用√不适用 八、研发支出 1、按费用性质列示 √适用□不适用 单位：元 币种：人民币 项目 本期发生额 上期发生额 工资、薪金及福利 389
S094,数据采集,2,2,0,high,DCS释义中提到数据采集，偏术语定义,上下文是释义，系统功能虽明但偏定义口径。,，保证生产经营活动得以顺利进行的相关活动。 DCS 指 集散控制系统，一个为满足大型工业生产的要求，从综合自动化的角 度，按功能分散、协调集中的原则设计，具有高可靠性，用于生产管 理、数据采集和各种过程控制的计算机控制系统。该系统有助于提升 工作效率，保障稳定生产。 农药原药 指 农药活性成分，一般不能直接使用，必须经过加工配制成各种类型制 剂的农药 农药制剂 指
S095,数据资源,3,2,0,high,"""其中：数据资源""报表列示条目",数据资源是报表项目，未见运营应用。,"电连技术股份有限公司2024 年年度报告全文 104 其中：应收利息 应收股利 18,631,176.11 存货 595,222,718.00 459,821,748.07 其中：数据资源 合同资产 0.00 0.00 持有待售资产 0.00 0.00 一年内到期的非流动资产 0.00 0.00 其他流动资产 57,431,361.14 3,860,697.58"
S097,数据中心,2,0,0,high,绿色节能数据中心建设政策方向,,快速 增长的黄金期。在国家倡导信息技术自主可控的大背景下，新型基础设施关键设备的国产 化进口替代将成为行业发展的总体趋势。同时，在国家大力推行碳达峰、碳中和的大形势 下，绿色节能的高能效标准成为数据中心建设的政策鼓励方向，具有低能耗热管理核心技 术的企业将在行业竞争中脱颖而出。 2、新型城镇化建设业务经营模式和行业情况概述 公司的新型城镇化建设业务主要包括基础设施建设、房地产开发、特色产业
S099,风险控制,2,0,0,high,金融工具风险管理标准披露,,平，使股东及其他权益投资者的利益最大化。基于该风险管理目标，本 公司风险管理的基本策略是确定和分析本公司所面临的各种风险，建立适当的风险承受底线和进 行风险管理，并及时可靠地对各种风险进行监督，将风险控制在限定的范围之内。 1、市场风险 （1）利率波动风险 公司所属的电力行业是资本密集型行业，电源项目建设具有投资规模大、投资回收期长的特 点。公司近年来新建项目较多，项目资本金以外部分投资
S101,数据中心,2,2,0,high,数据中心综合服务营收分产品披露,偏数据中心业务绩效披露，不是使用动作。,"32.78% -6.31% 分产品 金融科技综合服务 760,643,658.56 47.36% 886,179,296.23 50.40% -14.17% 数据中心综合服务 793,336,353.70 49.40% 842,219,490.61 47.90% -5.80% 其他业务 52,114,985.15 3.24% 3"
S105,数据资源,2,2,0,high,"""其中：数据资源""存货列示条目",数据资源系财务列示，偏资产披露。,"收款 七、4 1,385,044.26 1,692,987.65 其中：应收利息 应收股利 买入返售金融资产 存货 七、5 120,262.78 346,563.94 其中：数据资源 合同资产 持有待售资产 一年内到期的非流动资产 其他流动资产 七、6 961,982.46 298,666.69 流动资产合计 243,581,916.98 220,212,09"
S106,数据服务,2,1,0,high,数据要素市场高速发展+《数据二十条》政策引用,,内容策划、数据分析、流量 投放乃至对品牌文化有着专业理解的服务商，将获得更深入的发展空间。 表：2019-2026 年直播电商交易规模及增速 数据来源：艾瑞咨询 4、数据要素市场高速发展，消费数据服务需求广泛 数据作为数字经济发展的关键生产要素，近年来受到国家和企业的高度重视。2022 年 11 月，国务院印发《关于构 建数据基础制度更好发挥数据要素作用的意见》（简称《数据二十条》），要求在数
S107,数据中心,3,2,1,medium,水声装备产品线含数据中心等，偏业务介绍,产品线含数据中心和大数据，偏业务介绍。,务 公司长期专注于国家特种电子信息行业声纳装备领域相关产品的研发、生产和销售，围绕该行业战略发展方向，紧 贴最终用户需求，为客户提供信号处理平台、声纳系统、水声大数据、仿真训练系统、无人探测系统、数据中心等产品， 主要作用为水声目标探测与识别、水声通信与数据传输、水声导航与测绘等，最终用户主要为国家特种部门。 随着大数据、人工智能技术的发展，水声装备智能化的需求愈发迫切。公司不断跟踪新技术发展，将
S110,机器学习,2,0,0,high,"""算法""""深度学习""释义",,为线性阵列相机，使用由单行光电探测器组成的传感 器的摄像机 算法 指 按照要求设计好的有限的确切的计算序列，并且这样的步 骤和序列可以解决一类问题 深度学习 指 人工智能及机器学习的一个子集，仿真生物神经系统（例如 人类大脑）工作，使用多层神经网络最先进精确执行任务， 例如物体探测及识别、语音识别及自然语义处理 鲁棒性 指 Robustness，统计学中的专业术
S117,运营数据,2,0,0,high,"""月度运营数据公告""公告标题",,告 2014-8-13 上海证交所网站 146 2014 年 7 月份主要运营数据公告 2014-8-18 香港联交所网站 147 中国神华 2014 年 7 月份主要运营数据公告 2014-8-19 上海证交所网站 148 海外监管公告 2014-8-20 香港联交所网站 149 中国神华关于山东国华寿光电厂“上大压小”新建工程项目获 得
S118,数据库,2,2,0,high,图数据库行业关注度增长宏观背景,概念性描述图数据库应用场景，落地细节少。,于黑 盒子的可信计算环境方式，但仍需证明第三方的可靠性。 随着大数据的发展，企业和公共机构越来越需要将不同的数据进行有效链接，从而形成新的动态知识，以辅助企业和公 共机构的决策。这就需要运用图数据库、图计算引擎和知识图谱，其中知识图谱是图数据库和图计算引擎的重要应用场景。 根据DB-Engines排名分析，图数据库关注热度在2013年到2020年间增长了10倍，关注度增长排名第一，远远高于其它
S119,数据安全,2,0,0,high,云计算/大数据发展规划与数据安全保障宏观目标,,大数据相关产品和服务业务收入突破1万亿元，年 均复合增长率保持30%左右。在此基础之上，明确了2020年的细化发展目标，即技术产品先进可控、应用能力显著增强、生 态体系繁荣发展、支撑能力不断增强、数据安全保障有力。作为大数据产业的基础设施，数据中心的市场需求和未来发展得 到政策支持与保障。 根据2017年4月10日工信部印发《云计算发展三年行动计划(2017-2019年)》提出明确的发展目标：2
S120,数据资源,3,2,0,high,"""其中：数据资源""无形资产/开发支出列示",数据资源列示在报表，偏资产披露。,"32,137.15 无形资产 七、26 97,041,278.01 34,542,925.48 其中：数据资源 开发支出 66,372,173.90 2,795,633.61 其中：数据资源 商誉 七、27 474,991.57 长期待摊费用 七、28 57,360.19 518,344.99 递延所得税资产 七、29 33,139,436.33 33,101,21"
